SpAD_Dt,ZMIC1,ATSC7p,GATS4c,CIC1,AATSC8i,MATS3p,MDEC-23,ETA_Eta_F_L,ATSC5s,VE1_Dzp,ATSC8i,MATS7p,ATS4m,AATSC2e,MATS7i,ATSC8c,TPC,SpMax8_Bhi,MATS5s,IC5,MATS3v,MATS3c,BIC5,GATS3e,minssNH,ETA_BetaP_s,MATS6c,GATS1s,GATS2s,GATS5s,C2SP2,CrippenLogP,SpMax3_Bhv,AATS8m,MATS2e,GATS5m,VR3_Dt,WTPT-2,ETA_Epsilon_5,AATS7v,BCUTp-1l,AATSC5p,MATS1m,MATS6v,MATS4i,GATS8e,ATSC7e,AATSC2s,SP-6,Class
981.3484,76.7516,-0.7118,1.1098,2.4282,-0.2883,-0.0767,32.2745,11.1231,-32.2002,0.0111,-27.968,-0.0279,11509.6767,0.0174,0.002,0.0138,1833,3.0974,-0.1212,5.463,-0.0154,-0.3563,0.8744,1.2496,0.0,0.6757,0.0474,0.5374,0.5574,1.3964,16,5.8738,3.7206,73.5448,0.1865,1.0545,53.6826,2.0771,0.8469,205.888,5.466,0.0199,0.051,-0.0486,-0.0449,1.1013,-1.8486,0.0728,7.7831,NonToxic
1367.4529,75.1387,1.5577,1.2018,2.4842,-0.0546,-0.0652,40.393,12.2187,3.6296,0.086,-8.2996,0.0432,13028.9638,0.0099,0.1291,-0.0303,3075,3.1266,0.0584,5.761,-0.0133,-0.115,0.8942,0.9949,0.0,0.6795,0.191,0.7807,0.8338,1.1029,16,8.5692,3.8383,64.9306,0.2181,0.8975,23.6676,2.1374,0.7915,209.2207,6.5207,-0.0109,0.0853,-0.1041,-0.0002,1.0447,-1.3224,0.0133,10.0935,NonToxic
789.3701,88.8322,-0.6179,1.2096,3.4483,-0.0532,-0.0614,35.8397,10.6882,-0.0564,0.1573,-5.477,-0.0239,8482.9597,0.0067,0.055,0.0321,1642,2.9365,-0.0015,5.2986,-0.0254,0.0575,0.8455,0.8559,0.0,0.6288,-0.069,0.8507,0.8704,1.1904,22,7.7963,3.7852,59.82,0.2852,0.9604,18.5967,2.1141,0.7485,211.1414,6.6638,0.0126,0.0713,-0.027,-0.1561,0.9463,-0.6161,-0.004,6.6106,NonToxic
925.3089,67.1725,-0.7265,1.11,2.4691,-0.3697,-0.0956,32.6743,9.2764,-23.832,0.2577,-48.4361,-0.0196,10031.7887,0.0051,-0.013,0.1944,1463,3.0725,-0.1246,5.4402,-0.0694,0.1221,0.8655,0.9459,0.0,0.6571,-0.1443,0.5262,0.5572,1.4938,14,3.9138,3.7691,57.1936,0.0825,1.2234,22.0262,2.0987,0.8076,186.2992,4.931,0.0065,0.0769,-0.0993,-0.1306,0.6175,1.9114,0.0657,6.7884,NonToxic
1002.929,102.014,2.7614,0.6379,3.4386,0.2292,0.0986,52.0187,11.7106,-20.2961,0.0,31.1772,0.0699,13508.2288,0.0142,-0.067,-0.0371,2574,2.9821,-0.0524,4.8318,0.0916,-0.2298,0.7569,0.9256,0.0,0.641,-0.0649,0.5027,0.5243,0.7099,22,4.8722,3.7995,79.2024,0.2024,1.132,22.9657,2.0988,0.7992,174.9196,4.941,-0.0429,0.0481,-0.1844,0.0627,0.8224,1.6327,0.0535,8.5829,NonToxic
1320.9538,104.9729,4.2161,1.1618,3.4901,-0.1075,-0.0583,44.7998,11.7772,-5.2215,0.0123,-12.789,0.1454,10381.8243,0.0028,0.1922,0.0006,1758,3.1088,-0.0519,5.0402,-0.0195,0.116,0.7864,0.8753,2.7586,0.6118,-0.1192,0.5887,0.6523,1.2023,23,6.5549,3.8141,69.2844,0.078,1.149,24.5784,2.1192,0.7392,207.4989,5.2969,-0.0244,0.0492,-0.0069,-0.2296,1.1836,-0.0284,-0.022,8.3916,NonToxic
1535.0977,81.0922,1.9176,1.2284,2.4567,0.0137,-0.0706,49.4774,12.0334,-22.6753,0.5702,2.5447,0.0394,14688.0617,0.011,0.0769,-0.1829,2860,3.1544,-0.0577,5.9636,-0.0422,-0.0423,0.9142,0.9145,2.8933,0.657,0.1706,0.5021,0.5239,1.117,21,5.6971,3.8061,71.6049,0.1279,0.903,25.8969,2.0899,0.8089,207.0255,4.0012,-0.0084,0.0247,0.0122,-0.0548,1.1996,-1.2668,0.0586,9.8109,NonToxic
1882.0569,93.1709,-9.3202,0.5957,2.5804,-0.3823,0.053,23.4488,10.7974,-98.0082,0.1531,-56.5745,-0.2092,19530.9901,0.0009,-0.2156,-0.8375,6717,3.0462,-0.1693,5.1714,0.0484,-0.1571,0.8216,0.8385,0.0,0.6447,0.0802,0.8823,0.5305,1.1329,12,5.9975,3.8665,66.9418,0.0077,0.9963,26.5462,2.1148,0.7849,199.5418,5.9112,-0.0189,-0.0788,-0.2356,0.0274,1.566,-0.2282,0.0839,14.8575,NonToxic
1254.8275,80.4228,6.8828,1.1022,2.4911,-0.1219,-0.1137,44.591,12.735,-29.7899,0.1198,-20.2346,0.1464,14774.1104,0.0154,0.1712,-0.0561,2261,3.2963,-0.0876,5.7388,-0.0952,-0.0986,0.8755,0.8098,0.0,0.6421,-0.1629,0.4959,0.4517,1.0588,19,7.024,3.8622,87.9492,0.218,1.2036,28.8717,2.08,0.8212,214.0981,3.8696,0.0139,0.0688,-0.0415,-0.1251,0.6409,1.1046,0.2434,8.9725,NonToxic
1611.6706,102.9325,-6.7348,0.8193,2.9993,0.2005,-0.006,65.0939,13.3435,3.9623,0.0749,34.4857,-0.1315,16719.5918,0.0061,-0.1646,-0.2866,3140,3.2092,0.0157,5.7414,0.0225,-0.188,0.8661,0.7061,0.0,0.6193,0.2091,0.5309,0.4676,1.0377,20,8.2998,3.9828,72.1759,0.1842,0.9832,34.3309,2.1144,0.7399,225.5074,5.3269,0.0016,0.0433,-0.029,0.0207,2.209,-0.8713,-0.0218,0.0,NonToxic
1876.1342,78.3934,1.6763,1.0955,2.5503,0.0306,0.055,51.1057,12.7811,2.8889,0.5343,6.2348,0.0359,15043.5018,0.0075,0.0276,-0.0962,3756,3.3491,0.0189,5.9226,0.0995,-0.1156,0.8886,0.9794,0.0,0.7,-0.0751,0.6365,0.6707,1.1244,22,8.8249,3.8397,74.1633,0.1265,0.9821,29.0959,2.132,0.8044,212.4549,5.6715,-0.017,0.085,-0.0142,0.0807,1.0927,0.1676,0.0308,12.1948,NonToxic
1069.8278,79.0398,-2.623,1.3061,2.6601,0.0056,-0.1607,36.9243,11.2011,-1.3275,0.0299,0.8102,-0.0839,9683.3945,0.0108,-0.053,0.1732,1525,3.1397,-0.0117,5.7748,-0.1107,-0.1201,0.9046,1.1659,2.9908,0.6419,0.2241,0.673,0.5769,1.3548,21,6.8923,3.8173,58.8545,0.2175,0.8875,22.1071,2.0898,0.7598,216.9328,5.7475,0.0463,0.0493,-0.0171,0.0055,1.1114,-1.6759,0.0841,7.184,NonToxic
1727.7241,87.8075,-0.3473,1.1667,3.0176,0.0647,0.0096,47.536,10.3193,-9.2058,0.1166,5.696,-0.0161,12432.0565,0.0063,0.059,0.0055,3797,2.994,-0.0514,5.5546,0.072,-0.0214,0.8974,0.797,0.0,0.6591,-0.0618,0.495,0.5479,1.2425,17,6.6934,3.7732,73.3757,0.1251,1.0768,27.5547,2.1661,0.7707,233.0608,5.7637,-0.0358,0.0547,-0.0221,-0.0499,0.7225,-0.0074,-0.0321,10.802,NonToxic
993.7593,86.4706,-4.7491,1.0777,2.8729,-0.1005,-0.0994,39.6797,11.2391,-44.7625,0.2863,-11.2555,-0.1797,10667.8487,0.0177,-0.1704,0.2512,1813,3.0412,-0.1774,5.6147,-0.0177,-0.0295,0.8973,0.8181,0.0,0.6458,0.1006,0.619,0.4856,1.2728,19,6.4917,3.8045,60.7826,0.2235,1.0751,24.8172,2.0901,0.8045,208.5206,4.2501,0.0175,0.0237,-0.2087,0.0321,0.4535,1.8486,0.1977,7.6736,NonToxic
1161.3223,80.5149,0.2086,1.2333,3.0236,-0.3587,-0.0629,34.789,8.7709,-69.9029,0.0173,-55.9597,0.0043,13744.6849,0.0162,0.0296,-0.1539,1733,3.234,-0.1539,5.4227,0.0382,0.0448,0.8323,0.7758,0.0,0.6438,-0.2353,0.5685,0.4893,1.4844,11,4.4733,3.6773,52.9031,0.2138,1.0982,26.5816,2.0752,0.8325,158.6021,5.6046,0.0046,0.1828,-0.197,0.0078,0.514,3.6227,0.2951,8.1194,NonToxic
1572.6589,67.6092,1.1358,1.0245,2.5021,-0.2964,-0.2319,35.8792,10.7535,-32.7497,0.518,-62.2383,0.0212,14983.8074,0.0159,0.0644,-0.2955,2677,3.2733,-0.1074,5.6998,-0.1837,-0.1166,0.8696,0.8897,3.6765,0.6786,-0.0316,0.5497,0.5066,1.2097,14,7.7044,3.8066,49.1903,0.2319,1.162,25.3237,2.0817,0.8085,172.4558,5.0221,-0.0023,0.0689,-0.1692,0.1006,0.9098,0.3827,0.1114,10.3666,NonToxic
1333.943,81.0115,-0.6299,0.8348,2.3378,-0.275,-0.0686,30.2222,13.2949,-33.5622,0.031,-24.4792,-0.0311,10702.3555,0.0077,-0.2157,-0.387,1656,3.2146,-0.1344,5.5132,-0.1099,-0.0518,0.8613,1.1222,2.2603,0.6845,0.2261,0.5591,0.5933,0.972,14,3.2616,3.7243,84.1509,0.072,1.1124,34.175,2.087,0.8467,215.9489,4.686,0.0099,0.0281,-0.0078,-0.1052,1.1746,-0.0137,0.0379,7.7664,NonToxic
1593.6325,95.7763,-0.5955,1.0198,2.9853,0.0123,-0.0436,47.975,12.0383,-48.3933,0.2322,1.3824,-0.023,14525.326,0.0157,-0.0852,0.3249,3254,3.31,-0.1457,5.7179,0.0302,-0.1725,0.8969,0.8698,0.0,0.6711,0.1798,0.4948,0.5244,1.4326,17,4.9857,3.924,88.2524,0.2043,1.1627,21.8238,2.1348,0.7992,234.1679,5.4265,-0.0271,0.039,-0.0045,-0.048,0.863,-0.7099,0.0196,11.1036,NonToxic
1521.6682,88.1968,-1.1841,1.207,2.7619,0.0036,-0.0137,51.4783,12.5002,-12.8245,0.2953,0.5975,-0.031,13802.1998,0.0107,0.0235,-0.0099,3245,3.2819,-0.0466,5.8574,0.0289,0.002,0.9045,0.811,0.0,0.6585,-0.0958,0.4743,0.4284,0.8577,23,8.1281,3.8502,66.8006,0.1692,1.025,23.6851,2.124,0.8049,214.5492,3.8563,-0.0044,0.0724,-0.0415,-0.0246,0.657,1.0521,0.2083,10.6994,NonToxic
1538.5209,96.734,-0.8056,1.0364,2.7958,-0.0533,-0.0413,39.853,12.7853,-26.0556,0.0,-5.8643,-0.0303,14897.1327,0.0164,-0.124,-0.0377,2201,3.181,-0.0884,4.7803,0.0444,-0.2483,0.7519,0.8758,3.1019,0.6646,-0.0021,0.5355,0.5945,1.5883,20,6.9654,3.702,110.4351,0.19,1.1847,63.2426,2.0968,0.8152,232.1886,5.6532,0.0064,0.0066,-0.1058,-0.1193,0.8919,0.0403,-0.0331,9.3532,NonToxic
1014.0453,69.2386,-4.5454,1.0003,2.4316,0.2397,-0.1607,36.4379,9.4026,1.8966,0.3139,27.8099,-0.1868,9931.3872,0.0134,-0.1806,0.2691,1923,2.9516,0.0096,5.4552,-0.1202,-0.0402,0.89,0.9386,0.0,0.6591,0.2282,0.5649,0.4975,1.0846,16,4.2267,3.7885,65.4554,0.149,0.8531,18.85,2.1065,0.8283,232.1711,4.851,-0.0026,0.0652,0.1028,-0.0564,1.1395,-1.2684,0.1894,7.831,NonToxic
1587.5044,97.2268,-6.4015,0.6782,3.3394,-0.1544,0.0541,39.6365,10.997,5.1247,0.0016,-31.8072,-0.1286,11611.3008,-0.006,-0.0676,-0.0441,2114,3.1748,0.0858,5.1828,0.0108,-0.0213,0.7784,1.2946,0.0,0.6786,-0.0074,0.7494,0.928,0.842,18,7.493,3.6851,36.2848,-0.2382,0.9062,27.4264,2.1336,0.7571,157.0281,7.0912,0.0147,0.0988,-0.0349,-0.1627,0.8982,-0.1365,0.003,9.5143,NonToxic
1549.938,86.8965,-2.5022,1.0597,2.7207,0.0718,-0.025,54.58,12.6021,-7.5645,0.3277,13.0709,-0.0636,13836.5019,-0.0001,0.0201,-0.0481,3303,3.183,-0.0347,5.8511,-0.0002,0.0138,0.8948,0.9232,0.0,0.6548,-0.0267,0.5224,0.6549,0.9175,22,8.1209,3.8497,62.8388,-0.0023,0.9867,24.3511,2.1221,0.7929,220.0462,3.9215,0.0038,0.0695,0.0185,-0.0608,0.704,1.2253,-0.0562,11.0925,NonToxic
1668.817,83.1633,2.5781,1.1048,2.7612,-0.0412,0.0854,46.3298,12.2178,-10.2401,0.4875,-7.577,0.0603,13708.4749,0.0077,0.1068,-0.0632,3339,3.2731,-0.0758,5.822,0.1088,-0.2329,0.8811,1.1988,0.0,0.6786,0.0148,0.6038,0.5911,1.4323,22,8.5874,3.7995,69.0328,0.2011,1.0206,25.5408,2.1225,0.7754,211.5703,6.0114,-0.0019,0.081,0.0182,-0.0365,1.3997,-1.4443,0.0383,10.9923,NonToxic
1494.6145,83.6155,-0.451,1.2357,2.6861,-0.0215,-0.034,60.0166,11.4054,54.2027,0.4448,-5.5581,-0.0071,16921.103,0.0037,0.0149,-0.3332,3696,3.3198,0.1497,6.0641,-0.0039,0.0048,0.9188,0.822,3.0997,0.6477,0.1397,0.5353,0.605,1.3129,21,6.4258,3.8374,62.3043,0.0522,0.8673,32.5294,2.108,0.7941,211.2942,5.3534,0.0114,0.061,0.0366,-0.0554,1.1695,-2.7318,-0.0205,11.7649,NonToxic
1020.6888,100.4921,0.8724,1.3597,3.2013,-0.1,-0.1235,36.6323,11.3644,41.085,0.1776,-10.2048,0.0331,11718.6571,0.0179,0.102,-0.5318,1826,3.0003,0.1248,5.4216,-0.0312,0.0515,0.8664,0.7831,2.8674,0.6419,0.0588,0.5119,0.5678,1.2827,17,5.03,3.8695,70.7438,0.1961,0.9879,23.5106,2.0799,0.8219,217.0289,5.498,0.0206,0.0342,-0.0074,-0.1356,1.0045,-0.2177,-0.0024,7.4216,NonToxic
1118.236,86.0119,-1.3921,1.1819,2.8354,-0.0056,-0.0709,40.1784,11.7189,-29.7472,0.3871,-1.0167,-0.0327,12851.8818,0.0088,0.0023,-0.0112,1945,3.208,-0.0857,5.6058,-0.0241,0.0721,0.8657,0.7626,0.0,0.6463,0.0848,0.4784,0.4455,1.2394,20,5.9112,3.8141,63.5604,0.1226,0.9772,25.9504,2.0745,0.8236,194.8236,4.1575,0.0218,0.0702,-0.0556,-0.0839,1.628,-1.6055,0.238,8.3576,NonToxic
1660.3952,91.1544,0.7254,1.218,2.7895,0.0525,0.0155,52.249,12.4357,-18.8712,0.2134,9.2371,0.0171,15160.2034,0.0036,0.0037,-0.1835,3098,3.3173,-0.0516,5.9807,0.0196,-0.0231,0.9103,1.0604,0.0,0.6667,0.0794,0.5252,0.5921,1.5249,24,6.2904,3.8278,72.0583,0.039,1.036,30.173,2.1071,0.837,207.9235,5.4595,-0.0129,0.0622,0.0204,-0.0125,1.3701,-0.2772,-0.0065,10.5721,NonToxic
959.4787,70.9255,-0.1487,0.8758,2.2738,-0.029,0.0238,30.0382,10.3025,1.1173,0.2617,-3.5936,-0.0043,12204.3272,0.011,0.0374,0.0301,1767,3.098,0.0049,5.5661,-0.0099,-0.1824,0.8869,0.97,0.0,0.6458,0.1358,0.603,0.5508,0.7951,17,6.1398,3.8273,69.2405,0.1588,1.0486,23.4168,2.0824,0.8013,212.7014,4.9515,-0.0378,0.0558,0.1628,-0.0679,1.1636,-0.716,0.0677,7.3825,NonToxic
884.1437,79.0348,-1.0788,1.1006,2.8015,-0.1474,-0.1383,34.5325,9.896,-43.2952,0.0582,-11.7916,-0.058,9363.4309,0.0215,-0.0493,-0.009,1774,3.0075,-0.2172,5.4366,-0.0371,-0.1308,0.8978,0.8601,0.0,0.6563,0.064,0.5246,0.5301,1.5875,16,5.2823,3.8212,81.1646,0.2536,1.1463,22.771,2.107,0.8208,239.2779,4.8742,0.0226,0.0469,-0.0422,-0.0356,0.9827,0.7034,0.0887,7.092,NonToxic
1641.8573,117.5779,-2.8966,1.2414,3.357,0.0697,-0.0912,51.3093,13.6093,-56.8699,0.0,9.475,-0.092,14768.7174,0.006,0.0033,0.008,2144,3.1872,-0.1347,4.8125,-0.0028,-0.019,0.7395,0.8752,2.726,0.625,-0.2223,0.5158,0.5822,1.5802,24,6.9106,3.84,66.4226,0.0681,1.2201,29.901,2.085,0.8,218.8549,5.4557,0.0204,0.016,-0.1184,-0.1257,0.9665,3.2118,-0.0323,9.5162,NonToxic
1831.9586,81.5488,-2.5382,1.0015,2.6152,0.3145,-0.0319,41.1121,11.4416,33.0692,0.6071,59.1331,-0.0567,14435.8591,0.0251,-0.0172,0.2589,2597,3.2653,0.0594,5.6212,0.0054,0.0096,0.8596,0.7106,3.3544,0.6648,-0.0509,0.5412,0.3916,0.8113,20,7.8791,3.8291,59.5393,0.2162,0.8836,26.2513,2.0864,0.8401,191.9363,3.6272,0.0139,0.0414,0.0164,-0.1034,1.0424,-3.7008,0.8305,9.8872,NonToxic
1377.8653,79.543,0.7303,1.3272,2.7261,-0.0007,-0.0922,40.4145,10.6408,33.4148,0.5854,-0.0739,0.0262,10348.8958,0.0066,0.0535,-0.0235,2036,3.1095,0.1798,5.5216,-0.0703,0.1935,0.8709,0.8118,0.0,0.625,0.1241,0.5649,0.5771,0.8573,19,6.5587,3.8566,64.9507,0.1135,0.8918,20.4238,2.0932,0.7861,200.524,4.9503,0.0297,0.0537,-0.0692,-0.1475,1.2305,-1.316,0.0594,8.1415,NonToxic
1117.6198,99.1823,1.2223,1.0785,3.3077,-0.2442,-0.0882,43.2379,11.0875,-41.3545,0.0,-22.7086,0.0509,12046.3345,0.0153,0.0428,-0.0996,2556,3.0424,-0.1397,5.162,0.0096,-0.1285,0.8262,0.85,0.0,0.6528,0.1483,0.4929,0.5484,1.4348,18,6.6168,3.9223,74.7403,0.1995,0.9801,54.7271,2.1132,0.8074,227.4587,5.766,0.0021,0.0454,-0.0006,-0.0613,0.8821,-0.1541,-0.0137,8.9353,NonToxic
1265.6063,83.7706,-0.3036,1.2873,2.7973,0.0253,-0.0589,48.0809,10.2701,-3.5679,0.1449,3.8915,-0.0076,12901.5341,0.0054,0.0052,-0.1769,2903,3.0276,-0.0128,5.7545,-0.0402,-0.1234,0.9116,1.002,0.0,0.6487,0.0982,0.4909,0.5651,1.5471,21,6.0292,3.8136,71.2147,0.0807,0.7696,24.6545,2.1103,0.8023,214.0024,6.0325,0.0052,0.0331,0.0469,-0.0264,1.4909,-1.3067,-0.0447,9.54,NonToxic
1220.6632,92.4109,0.5991,1.2093,2.9638,-0.0774,-0.0495,43.3655,12.7159,-22.5184,0.2475,-14.3968,0.0133,12216.6265,0.0055,0.0831,-0.3377,2077,3.2307,-0.1668,5.6977,-0.019,-0.1199,0.8643,1.1238,0.0,0.6628,-0.174,0.583,0.6365,1.5472,22,8.3525,3.8039,62.506,0.0951,1.0402,34.6447,2.1016,0.8,188.9069,5.457,0.0101,0.0788,-0.1478,-0.0337,0.9211,0.9484,0.0381,8.1762,NonToxic
1140.3925,71.7277,-2.7253,1.2406,2.7289,-0.176,-0.0003,38.5752,10.2631,-19.8092,0.2876,-41.5323,-0.0532,12098.9234,0.0016,0.1025,-0.2292,2150,3.1643,-0.1427,5.465,0.0178,-0.0356,0.8357,1.0885,0.0,0.675,-0.0966,0.5857,0.6823,1.466,14,6.6431,3.7397,45.304,0.0311,1.0601,25.4389,2.1073,0.7983,173.1232,5.6222,0.0149,0.0897,-0.2307,0.018,0.7188,0.1114,0.0211,8.5259,NonToxic
926.1811,56.7717,-4.84,1.3052,2.3893,0.0625,-0.0159,31.647,8.6383,-20.2166,0.3263,10.813,-0.1062,10932.9178,0.0059,-0.0947,-0.1334,1716,3.0725,-0.1548,5.3819,-0.0095,-0.048,0.8501,1.1472,0.0,0.6643,-0.1398,0.5577,0.5583,1.6641,13,6.2037,3.7477,41.8262,0.1221,0.8949,24.0208,2.0891,0.7986,154.6767,5.714,0.0094,0.0543,-0.1673,-0.1134,0.7149,1.787,0.0518,7.4507,NonToxic
1534.5515,99.1689,-6.2542,0.8429,3.6514,-0.0771,-0.0429,65.256,9.4875,3.7749,0.0007,-19.7304,-0.0936,13428.9586,-0.0025,-0.0518,0.0498,3188,3.248,0.0914,5.059,-0.0495,-0.0138,0.7504,1.1216,0.0,0.6429,-0.0588,0.8023,0.7581,0.9846,14,8.0944,3.7506,38.2577,-0.2053,0.9315,28.0307,2.1479,0.7191,168.5976,7.1793,0.0028,0.1067,-0.1153,0.0844,0.557,-0.4267,0.0193,11.2433,NonToxic
1704.7063,90.734,-9.8275,1.2177,2.7883,0.0808,-0.0604,57.6723,11.9927,-6.4022,0.2194,13.4186,-0.2043,14703.081,0.0128,-0.1484,0.0582,3093,3.2836,-0.0225,5.807,-0.0174,-0.0428,0.888,0.6045,0.0,0.6369,0.031,0.4702,0.4259,0.7712,21,7.7865,3.8347,79.4621,0.2283,0.9766,25.6649,2.1236,0.7897,225.2618,3.9144,0.0218,0.0684,-0.0107,0.035,1.5711,-0.5401,0.2054,0.0,NonToxic
1223.1234,78.2353,2.0275,1.3207,2.5895,-0.2988,-0.1117,42.4795,10.6673,0.3436,0.3589,-45.4145,0.0449,14537.9496,0.0094,-0.002,0.1289,2019,3.1095,0.0007,5.734,-0.0619,0.0505,0.9019,0.8237,0.0,0.6382,-0.1734,0.5803,0.5529,1.1437,19,5.3876,3.8006,81.2316,0.0991,1.0189,23.6577,2.0794,0.8381,213.2905,4.7516,0.0136,0.1583,0.0272,-0.0042,1.0559,2.3097,0.2278,8.0901,NonToxic
